Latitude,Longitude,Time,Temperature (°C),Humidity (%)
16.949,100.3579,2024-10-12T14:00:00+07:00,32.81,61.44
16.8165,100.3025,2024-10-12T14:00:00+07:00,32.99,59.83
16.896,100.1639,2024-10-12T14:00:00+07:00,32.79,61.26
16.9225,100.3579,2024-10-12T14:00:00+07:00,32.74,61.73
16.8165,100.1917,2024-10-12T14:00:00+07:00,32.87,60.9
16.896,100.3579,2024-10-12T14:00:00+07:00,32.9,61.51
16.8695,100.1362,2024-10-12T14:00:00+07:00,32.84,60.69
16.843,100.1917,2024-10-12T14:00:00+07:00,32.75,61.08
16.9225,100.3856,2024-10-12T14:00:00+07:00,32.68,61.77
16.896,100.3302,2024-10-12T14:00:00+07:00,32.79,61.45
16.9225,100.4133,2024-10-12T14:00:00+07:00,32.46,63.71
16.896,100.4133,2024-10-12T14:00:00+07:00,32.74,62.71
16.8695,100.3856,2024-10-12T14:00:00+07:00,32.89,61.87
16.8695,100.3579,2024-10-12T14:00:00+07:00,32.74,61.66
16.7368,100.2748,2024-10-12T14:00:00+07:00,32.94,60.71
16.843,100.3302,2024-10-12T14:00:00+07:00,32.89,60.28
16.949,100.3856,2024-10-12T14:00:00+07:00,32.6,62.12
16.8695,100.2471,2024-10-12T14:00:00+07:00,32.84,61.0
16.896,100.3025,2024-10-12T14:00:00+07:00,32.72,61.36
16.9225,100.3025,2024-10-12T14:00:00+07:00,32.58,61.33
16.843,100.3579,2024-10-12T14:00:00+07:00,32.9,61.21
16.896,100.3856,2024-10-12T14:00:00+07:00,32.85,61.7
16.9225,100.1362,2024-10-12T14:00:00+07:00,32.79,61.24
16.7634,100.1917,2024-10-12T14:00:00+07:00,32.78,61.05
16.9225,100.2748,2024-10-12T14:00:00+07:00,32.75,61.36
16.896,100.4688,2024-10-12T14:00:00+07:00,30.28,70.34
16.8695,100.3025,2024-10-12T14:00:00+07:00,32.45,61.38
16.8165,100.3302,2024-10-12T14:00:00+07:00,32.75,60.46
16.8695,100.4133,2024-10-12T14:00:00+07:00,32.19,62.55
16.949,100.4133,2024-10-12T14:00:00+07:00,31.48,65.41
16.843,100.3025,2024-10-12T14:00:00+07:00,33.02,56.37
16.9225,100.4965,2024-10-12T14:00:00+07:00,29.88,69.03
16.6838,100.2748,2024-10-12T14:00:00+07:00,32.7,61.48
16.9225,100.1639,2024-10-12T14:00:00+07:00,32.83,61.4
16.7899,100.2194,2024-10-12T14:00:00+07:00,32.97,60.88
16.9225,100.3302,2024-10-12T14:00:00+07:00,32.65,61.53
16.8695,100.2194,2024-10-12T14:00:00+07:00,32.92,57.49
16.7368,100.1917,2024-10-12T14:00:00+07:00,32.82,60.93
